"UBDEP";"UBPRV";"UBDIS";"UBLOC";"COREG";"NODEP";"NOPRV";"NODIS";"CPDIS";"STUBI";"STSOB";"FERES";"INUBI";"UB_INEI";"CCOD_TIPO_UBI"
"01";"00";"00";"00";"00";AMAZONAS       ;                              ;                              ;                              ; ;"0";;"0";"010000";NACIONAL
"01";"01";"00";"00";"03";AMAZONAS       ;CHACHAPOYAS                   ;                              ;"03                            "; ;"0";;"0";"010100";NACIONAL
"01";"01";"01";"00";"03";AMAZONAS       ;CHACHAPOYAS                   ;CHACHAPOYAS                   ;CHACHAPOYAS                   ;"1";"0";;"0";"010101";NACIONAL
"01";"01";"02";"00";"03";AMAZONAS       ;CHACHAPOYAS                   ;ASUNCION                      ;ASUNCION                      ;"1";"0";;"0";"010102";NACIONAL
"01";"01";"03";"00";"03";AMAZONAS       ;CHACHAPOYAS                   ;BALSAS                        ;BALSAS                        ;"1";"1";;"0";"010103";NACIONAL
"01";"01";"04";"00";"03";AMAZONAS       ;CHACHAPOYAS                   ;CHETO                         ;CHETO                         ;"1";"0";;"0";"010104";NACIONAL
"01";"01";"05";"00";"03";AMAZONAS       ;CHACHAPOYAS                   ;CHILIQUIN                     ;CHILIQUIN                     ;"1";"0";;"0";"010105";NACIONAL
"01";"01";"06";"00";"03";AMAZONAS       ;CHACHAPOYAS                   ;CHUQUIBAMBA                   ;CHUQUIBAMBA                   ;"1";"0";;"0";"010106";NACIONAL
"01";"01";"07";"00";"03";AMAZONAS       ;CHACHAPOYAS                   ;GRANADA                       ;GRANADA                       ;"1";"0";;"0";"010107";NACIONAL
"01";"01";"08";"00";"03";AMAZONAS       ;CHACHAPOYAS                   ;HUANCAS                       ;HUANCAS                       ;"1";"0";;"0";"010108";NACIONAL
"01";"01";"09";"00";"03";AMAZONAS       ;CHACHAPOYAS                   ;LA JALCA                      ;LA JALCA                      ;"1";"0";;"0";"010109";NACIONAL
"01";"01";"10";"00";"03";AMAZONAS       ;CHACHAPOYAS                   ;LEIMEBAMBA                    ;LEIMEBAMBA                    ;"1";"0";;"0";"010110";NACIONAL
"01";"01";"11";"00";"03";AMAZONAS       ;CHACHAPOYAS                   ;LEVANTO                       ;LEVANTO                       ;"1";"1";;"0";"010111";NACIONAL
"01";"01";"12";"00";"03";AMAZONAS       ;CHACHAPOYAS                   ;MAGDALENA                     ;MAGDALENA                     ;"1";"0";;"0";"010112";NACIONAL
"01";"01";"13";"00";"03";AMAZONAS       ;CHACHAPOYAS                   ;MARISCAL CASTILLA             ;DURAZNOPAMPA                  ;"1";"0";;"0";"010113";NACIONAL
"01";"01";"14";"00";"03";AMAZONAS       ;CHACHAPOYAS                   ;MOLINOPAMPA                   ;MOLINOPAMPA                   ;"1";"0";;"0";"010114";NACIONAL
"01";"01";"15";"00";"03";AMAZONAS       ;CHACHAPOYAS                   ;MONTEVIDEO                    ;MONTEVIDEO                    ;"1";"0";;"0";"010115";NACIONAL
"01";"01";"16";"00";"03";AMAZONAS       ;CHACHAPOYAS                   ;OLLEROS                       ;OLLEROS                       ;"1";"0";;"0";"010116";NACIONAL
"01";"01";"17";"00";"03";AMAZONAS       ;CHACHAPOYAS                   ;QUINJALCA                     ;QUINJALCA                     ;"1";"0";;"0";"010117";NACIONAL
"01";"01";"18";"00";"03";AMAZONAS       ;CHACHAPOYAS                   ;SAN FRANCISCO DE DAGUAS       ;DAGUAS                        ;"1";"0";;"0";"010118";NACIONAL
"01";"01";"19";"00";"03";AMAZONAS       ;CHACHAPOYAS                   ;SAN ISIDRO DE MAINO           ;MAINO                         ;"1";"0";;"0";"010119";NACIONAL
"01";"01";"20";"00";"03";AMAZONAS       ;CHACHAPOYAS                   ;SOLOCO                        ;SOLOCO                        ;"1";"0";;"0";"010120";NACIONAL
"01";"01";"21";"00";"03";AMAZONAS       ;CHACHAPOYAS                   ;SONCHE                        ;SAN JUAN DE SONCHE            ;"1";"0";;"0";"010121";NACIONAL
"01";"02";"00";"00";"01";AMAZONAS       ;BAGUA                         ;                              ;"01                            "; ;"0";;"0";"010200";NACIONAL
"01";"02";"01";"00";"01";AMAZONAS       ;BAGUA                         ;LA PECA                       ;LA PECA                       ;"1";"0";;"0";"010201";NACIONAL
"01";"02";"02";"00";"01";AMAZONAS       ;BAGUA                         ;ARAMANGO                      ;ARAMANGO                      ;"1";"0";;"0";"010202";NACIONAL
"01";"02";"03";"00";"01";AMAZONAS       ;BAGUA                         ;COPALLIN                      ;COPALLIN                      ;"1";"0";;"0";"010203";NACIONAL
"01";"02";"04";"00";"01";AMAZONAS       ;BAGUA                         ;EL PARCO                      ;EL PARCO                      ;"1";"0";;"0";"010204";NACIONAL
"01";"02";"05";"00";"01";AMAZONAS       ;BAGUA                         ;BAGUA                         ;BAGUA                         ;"1";"1";; ;;NACIONAL
"01";"02";"06";"00";"01";AMAZONAS       ;BAGUA                         ;IMAZA                         ;CHIRIACO                      ;"1";"0";;"1";"010205";NACIONAL
"01";"03";"00";"00";"03";AMAZONAS       ;BONGARA                       ;                              ;"03                            "; ;"0";;"0";"010300";NACIONAL
"01";"03";"01";"00";"03";AMAZONAS       ;BONGARA                       ;JUMBILLA                      ;JUMBILLA                      ;"1";"0";;"0";"010301";NACIONAL
"01";"03";"02";"00";"03";AMAZONAS       ;BONGARA                       ;COROSHA                       ;COROSHA                       ;"1";"0";;"0";"010304";NACIONAL
"01";"03";"03";"00";"03";AMAZONAS       ;BONGARA                       ;CUISPES                       ;CUISPES                       ;"1";"0";;"0";"010305";NACIONAL
"01";"03";"04";"00";"03";AMAZONAS       ;BONGARA                       ;CHISQUILLA                    ;CHISQUILLA                    ;"1";"0";;"0";"010302";NACIONAL
"01";"03";"05";"00";"03";AMAZONAS       ;BONGARA                       ;CHURUJA                       ;CHURUJA                       ;"1";"1";;"0";"010303";NACIONAL
"01";"03";"06";"00";"03";AMAZONAS       ;BONGARA                       ;FLORIDA                       ;POMACOCHAS                    ;"1";"0";;"0";"010306";NACIONAL
"01";"03";"07";"00";"03";AMAZONAS       ;BONGARA                       ;RECTA                         ;RECTA                         ;"1";"0";;"0";"010308";NACIONAL
"01";"03";"08";"00";"03";AMAZONAS       ;BONGARA                       ;SAN CARLOS                    ;SAN CARLOS                    ;"1";"0";;"0";"010309";NACIONAL
"01";"03";"09";"00";"03";AMAZONAS       ;BONGARA                       ;SHIPASBAMBA                   ;SHIPASBAMBA                   ;"1";"0";;"0";"010310";NACIONAL
"01";"03";"10";"00";"03";AMAZONAS       ;BONGARA                       ;VALERA                        ;VALERA                        ;"1";"0";;"0";"010311";NACIONAL
"01";"03";"11";"00";"03";AMAZONAS       ;BONGARA                       ;YAMBRASBAMBA                  ;YAMBRASBAMBA                  ;"1";"0";;"0";"010312";NACIONAL
"01";"03";"12";"00";"03";AMAZONAS       ;BONGARA                       ;JAZAN                         ;PEDRO RUIZ GALLO              ;"1";"0";;"0";"010307";NACIONAL
"01";"04";"00";"00";"03";AMAZONAS       ;LUYA                          ;                              ;"03                            "; ;"0";;"0";"010500";NACIONAL
"01";"04";"01";"00";"03";AMAZONAS       ;LUYA                          ;LAMUD                         ;LAMUD                         ;"1";"0";;"0";"010501";NACIONAL
"01";"04";"02";"00";"03";AMAZONAS       ;LUYA                          ;CAMPORREDONDO                 ;CAMPORREDONDO                 ;"1";"1";;"0";"010502";NACIONAL
"01";"04";"03";"00";"03";AMAZONAS       ;LUYA                          ;COCABAMBA                     ;COCABAMBA                     ;"1";"0";;"0";"010503";NACIONAL
